ID,SITENAME,MG,PH,K,NITRATE,SULPHATE,EC,CA,NA,CARBONATE,BICARBONATE,CHLORIDE,FLUORIDE,SAR,RSC,YEAR
101.0,Arcot2,54.8,7.9,29.5,5.0,224.0,2700.0,90.0,410.0,.0,445.0,425.0,.4,8.4,-1.7,2005.0
102.0,Pallikonda,210.5,7.6,224.0,.0,198.0,5650.0,520.0,390.0,.0,497.0,1582.0,1.3,3.7,-35.1,2005.0
103.0,Kaveripakkam,30.0,7.4,30.0,18.1,96.0,2180.0,54.0,382.0,4.0,299.0,451.5,.5,10.3,-.3,2005.0
104.0,Kaveripakkam2,86.5,7.7,70.8,18.1,169.6,2180.0,103.8,271.0,4.0,402.5,496.0,1.0,4.6,-5.7,2005.0
105.0,Muthumandapam,41.0,8.8,2.0,7.0,259.0,2240.0,60.0,317.0,4.0,281.0,367.0,.5,7.7,-1.8,2005.0
106.0,Vellore1,183.0,7.6,305.0,.0,229.0,2780.0,29.0,310.0,.0,450.0,443.0,1.3,4.7,-9.1,2005.0
107.0,Ranipet1,151.0,7.3,106.0,5.0,230.0,6910.0,210.0,1100.0,.0,454.0,2000.0,1.1,14.1,-15.5,2005.0
108.0,Muthumandapam-EW,97.4,8.2,2.0,6.0,744.0,4640.0,92.0,759.0,4.0,402.5,91.0,.5,13.2,-12.6,2005.0
109.0,Thengal-EW,.0,7.7,70.8,18.1,169.6,1670.0,103.8,271.0,4.0,402.5,234.0,1.0,4.6,.0,2005.0
110.0,Thengal-EW,31.6,8.7,88.0,4.0,84.0,1670.0,16.0,253.0,36.0,220.0,234.0,.8,8.4,1.4,2005.0
111.0,Kalliyoor-EW,124.3,7.2,9.1,18.1,275.0,3760.0,256.0,271.0,.0,805.0,922.0,1.0,4.6,-9.8,2005.0
112.0,Kalliyoor-EW,117.0,7.2,8.2,18.1,265.0,3750.0,260.0,271.0,.0,482.0,908.0,1.0,4.6,-14.7,2005.0
113.0,Kalliyoor-EW,97.6,7.3,8.0,18.1,250.0,3730.0,280.0,271.0,.0,488.0,908.0,1.0,4.6,-14.0,2005.0
114.0,Kalliyoor-EW,104.9,7.3,8.0,18.1,265.0,3730.0,276.0,271.0,.0,488.0,908.0,1.0,4.6,-14.4,2005.0
115.0,Kalliyoor-EW,102.4,7.3,7.2,18.1,255.0,3480.0,220.0,271.0,.0,281.0,893.0,1.0,4.6,-14.8,2005.0
116.0,Kalliyoor-EW,107.1,7.6,70.8,18.1,169.6,2810.0,122.0,271.0,.0,165.0,710.0,1.0,4.6,-12.2,2005.0
117.0,Kalliyoor-OW,117.0,7.6,70.8,18.1,169.6,3380.0,240.0,271.0,.0,98.0,993.0,1.0,4.6,-20.0,2005.0
118.0,Katpadi,176.6,7.8,39.0,25.0,52.0,3010.0,195.0,135.0,.0,476.0,738.0,.6,1.7,-16.5,2005.0
119.0,Katpadi,.0,7.7,70.8,18.1,169.6,2310.0,103.8,271.0,4.0,402.5,451.5,1.0,4.6,.0,2005.0
120.0,Ammur,53.0,7.4,65.0,12.0,134.0,2500.0,240.0,136.0,4.0,244.0,533.0,.6,2.1,-12.3,2005.0
121.0,Ammur2,86.5,7.7,70.8,18.1,169.6,3090.0,103.8,271.0,4.0,402.5,554.0,1.0,4.6,-5.7,2005.0
122.0,Ammur2,86.5,7.7,70.8,18.1,169.6,3330.0,103.8,271.0,4.0,402.5,554.0,1.0,4.6,-5.7,2005.0
123.0,Ammur-PZ(DEEP),114.0,7.7,315.0,10.0,575.0,3090.0,192.0,207.0,4.0,232.0,554.0,.6,2.9,-15.2,2005.0
124.0,Ammur-EW,86.5,7.7,70.8,18.1,169.6,2500.0,103.8,271.0,4.0,402.5,533.0,1.0,4.6,-5.7,2005.0
125.0,Ammur-EW,114.0,7.7,315.0,10.0,575.0,3090.0,192.0,207.0,4.0,232.0,554.0,.6,2.9,-15.2,2005.0
126.0,Ammur-EW,139.0,7.6,330.0,4.0,190.0,3330.0,244.0,184.0,4.0,281.0,554.0,.6,2.3,-19.0,2005.0
127.0,Lalpet,18.0,7.8,41.0,2.0,61.0,990.0,59.0,140.0,.0,368.0,89.0,.6,4.1,1.6,2005.0
128.0,Banavaram,94.0,7.6,36.0,2.0,42.0,1160.0,2.0,86.0,.0,218.0,227.0,.7,1.9,-4.3,2005.0
129.0,Kallar-PZ,41.0,8.2,50.0,3.0,60.0,1250.0,56.0,120.0,4.0,256.0,185.0,.9,3.0,-2.0,2005.0
130.0,Kallar1,86.5,7.7,70.8,18.1,169.6,1250.0,103.8,271.0,4.0,402.5,185.0,1.0,4.6,-5.7,2005.0
131.0,Vallimalai2,86.5,7.7,70.8,18.1,169.6,800.0,103.8,271.0,4.0,402.5,451.5,1.0,4.6,-5.7,2005.0
132.0,Arakonam,39.0,7.8,6.6,1.0,54.0,1450.0,66.0,104.0,.0,366.0,170.0,.5,2.5,-.5,2005.0
133.0,Arakkonam,23.0,7.7,13.0,.5,24.0,740.0,22.0,99.0,4.0,305.0,60.0,1.0,3.5,2.0,2005.0
134.0,Arakkonam-EW,12.0,7.7,25.0,8.6,29.0,610.0,28.0,80.0,4.0,250.0,39.0,.7,3.2,1.7,2005.0
135.0,Arakkonam2,86.5,7.7,70.8,18.1,169.6,740.0,103.8,271.0,4.0,402.5,60.0,1.0,4.6,-5.7,2005.0
136.0,Sholinghur,22.9,7.6,34.0,2.0,25.0,525.0,50.0,33.0,.0,179.0,53.0,.4,1.0,-1.5,2005.0
137.0,Sholingar-EW,13.0,7.6,15.0,15.0,10.0,560.0,26.0,64.0,4.0,268.0,25.0,.8,2.6,2.0,2005.0
138.0,Sholingar1,23.0,7.6,34.0,2.0,25.0,525.0,50.0,33.0,.0,179.0,53.0,.4,1.0,-1.5,2005.0
